song,artist,id
HUMBLE.,['Kendrick Lamar'],7KXjTSCq5nL1LoYtL7XAwS
Blowin' in the Wind,['Bob Dylan'],18GiV1BaXzPVYpp9rmOg0E
Seasons (Waiting On You),['Future Islands'],41X9To0bQ4fpoSRri4NHiI
Subterranean Homesick Blues,['Bob Dylan'],6k9DUKMJpWvu6eFG3O64Lg
Debaser,['Pixies'],3FzKPS0oVknVlCW3PhxIHl
"Nuthin' But A ""G"" Thang","['Dr. Dre', 'Snoop Dogg']",4YtoipFgf4k0AfD17ZfD5X
Can't Get You out of My Head,['Kylie Minogue'],3E7ZwUMJFqpsDOJzEkBrQ7
Sign 'O' the Times - Single Version,['Prince'],5lHWWhuRtSBKfH2xS6YAUD
Penny Lane - Remastered 2009,['The Beatles'],1h04XMpzGzmAudoI6VHBgA
House Of Jealous Lovers,['The Rapture'],0MrkkxbgfHfbxrTg12oHd4
Planet Rock,"['Afrika Bambaataa', 'The Soulsonic Force']",3uy0jtkM8QYVTsBazkli1x
Alone Again Or - 2015 Remaster,['Love'],1XuccRABkfUVB4FjSVhjL1
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],4xh7W7tlNMIczFhupCPniY
Wichita Lineman - Remastered 2001,['Glen Campbell'],6V9VCm1zOY2lGR80RehJ9i
Runaway,"['Kanye West', 'Pusha T']",3DK6m7It6Pw857FcQftMds
Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,['Buzzcocks'],5YUJMvTg4AWHKjqQidTsGK
Wild Things,['Alessia Cara'],2ZyuwVvV6Z3XJaXIFbspeE
Highway to Hell,['AC/DC'],2zYzyRzz6pRmhPzyfMEC8s
Gloria (feat. Van Morrison) - Mono Version,"['Them', 'Van Morrison']",2aH5Pqq1F0sqZN1NFmWNvL
Like a Virgin,['Madonna'],1ZPlNanZsJSPK5h9YZZFbZ
With Or Without You - Remastered,['U2'],6ADSaE87h8Y3lccZlBJdXH
Rolling in the Deep,['Adele'],1CkvWZme3pRgbzaxZnTl5X
The Boys Are Back In Town,['Thin Lizzy'],43DeSV93pJPT4lCZaWZ6b1
Rebellion (Lies),['Arcade Fire'],0xOeB16JDbBJBJKSdHbElT
Sweet Jane - Full Length Version; 2015 Remaster,['The Velvet Underground'],3cw3Z7mS55gd3NUjh4k0bL
Bo Diddley,['Bo Diddley'],2R7uUQ0Dehu80gsOcydQC9
Runaway,"['Kanye West', 'Pusha T']",3DK6m7It6Pw857FcQftMds
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",['Johnny Cash'],2fDHuS1PTkHBbCWWZF1ph9
Le Freak - 2018 Remaster,['CHIC'],7Kszjzps0xbQXyo1pO4KfE
Crazy,['Gnarls Barkley'],2N5zMZX7YeL1tico8oQxa9
Firestarter,['The Prodigy'],1GTPxha6U7x9ElVxkQw3OK
Kiss Me Thru The Phone,"['Soulja Boy', 'Sammie']",2q4rjDy9WhaN3o9MvDbO21
Killing In The Name,['Rage Against The Machine'],59WN2psjkt1tyaxjspN8fp
In the Midnight Hour,['Wilson Pickett'],4NRQwaks9r58tTDvr4iEyv
Don't Worry Baby (Mono) - Remastered,['The Beach Boys'],3ES1OsBlHwGiHdyKN04DcN
Hey Joe,['Jimi Hendrix'],0NWPxcsf5vdjdiFUI8NgkP
Son of a Preacher Man,['Dusty Springfield'],7odHgoLFi3GQ90E9PeraI3
All the Young Dudes,['Mott The Hoople'],0WNGPpmWqzPnk0psUhJ3SX
Pyramids,['Frank Ocean'],4QhWbupniDd44EDtnh2bFJ
Two Weeks,['Grizzly Bear'],0iTpQYzJnYgh7kIxyq8A2O
Formation,['Beyoncé'],6g0Orsxv6glTJCt4cHsRsQ
Don't Be Cruel,['Elvis Presley'],01u6AEzGbGbQyYVdxajxqk
Something - Remastered 2009,['The Beatles'],0pNeVovbiZHkulpGeOx1Gj
Don't Stop 'Til You Get Enough,['Michael Jackson'],46eu3SBuFCXWsPT39Yg3tJ
I Got You (I Feel Good),['James Brown & The Famous Flames'],5haXbSJqjjM0TCJ5XkfEaC
Papa Was A Rollin' Stone - Single Version,['The Temptations'],7MiLmLbwNoyf47xQ4TCVYp
Mr. Brightside,['The Killers'],7oK9VyNzrYvRFo7nQEYkWN
Where Is My Mind?,['Pixies'],6mcxQ1Y3uQRU0IHsvdNLH1
1979 - Remastered 2012,['The Smashing Pumpkins'],5QLHGv0DfpeXLNFo7SFEy1
