,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10226,0.532,0.748,0,-5.223,1,0.0358,0.0275,4.76e-06,0.153,0.12,129.97,audio_features,2nZco160YsPJdiTPq396aq,spotify:track:2nZco160YsPJdiTPq396aq,https://api.spotify.com/v1/tracks/2nZco160YsPJdiTPq396aq,https://api.spotify.com/v1/audio-analysis/2nZco160YsPJdiTPq396aq,225827,3
10227,0.543,0.739,10,-6.008,0,0.0623,0.367,0.199,0.121,0.758,199.974,audio_features,26AI33STXsKwtuV9hmzDPG,spotify:track:26AI33STXsKwtuV9hmzDPG,https://api.spotify.com/v1/tracks/26AI33STXsKwtuV9hmzDPG,https://api.spotify.com/v1/audio-analysis/26AI33STXsKwtuV9hmzDPG,179852,4
10228,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,audio_features,3tlXDvaNrrOmdvG0XVUOcv,spotify:track:3tlXDvaNrrOmdvG0XVUOcv,https://api.spotify.com/v1/tracks/3tlXDvaNrrOmdvG0XVUOcv,https://api.spotify.com/v1/audio-analysis/3tlXDvaNrrOmdvG0XVUOcv,173853,4
10229,0.484,0.158,4,-14.687,1,0.0374,0.94,1.64e-05,0.109,0.296,128.06,audio_features,3IZXUxoL1Q7yUj5mh3Tmqp,spotify:track:3IZXUxoL1Q7yUj5mh3Tmqp,https://api.spotify.com/v1/tracks/3IZXUxoL1Q7yUj5mh3Tmqp,https://api.spotify.com/v1/audio-analysis/3IZXUxoL1Q7yUj5mh3Tmqp,251226,4
10230,0.365,0.489,1,-9.29,0,0.0353,0.0922,0.763,0.124,0.0724,150.195,audio_features,3PhCayYijNrFkHzJyXNemg,spotify:track:3PhCayYijNrFkHzJyXNemg,https://api.spotify.com/v1/tracks/3PhCayYijNrFkHzJyXNemg,https://api.spotify.com/v1/audio-analysis/3PhCayYijNrFkHzJyXNemg,413093,4
10231,0.579,0.94,4,-6.89,1,0.0375,0.0309,0.862,0.656,0.401,120.097,audio_features,2SpHd4lGMrJMIQDf92V6VP,spotify:track:2SpHd4lGMrJMIQDf92V6VP,https://api.spotify.com/v1/tracks/2SpHd4lGMrJMIQDf92V6VP,https://api.spotify.com/v1/audio-analysis/2SpHd4lGMrJMIQDf92V6VP,202640,4
10232,0.893,0.809,10,-6.308,0,0.204,0.015,0.000208,0.177,0.629,103.126,audio_features,5FTm96j8sA5sVdr2znHHEs,spotify:track:5FTm96j8sA5sVdr2znHHEs,https://api.spotify.com/v1/tracks/5FTm96j8sA5sVdr2znHHEs,https://api.spotify.com/v1/audio-analysis/5FTm96j8sA5sVdr2znHHEs,198773,4
10233,0.689,0.333,0,-12.134,0,0.0307,0.817,5.13e-06,0.285,0.471,115.835,audio_features,2stkLJ0JNcXkIRDNF3ld6c,spotify:track:2stkLJ0JNcXkIRDNF3ld6c,https://api.spotify.com/v1/tracks/2stkLJ0JNcXkIRDNF3ld6c,https://api.spotify.com/v1/audio-analysis/2stkLJ0JNcXkIRDNF3ld6c,124160,4
10234,0.381,0.783,9,-7.27,1,0.0709,0.0621,0.482,0.18,0.694,111.059,audio_features,5vtXtPjH9NBC79ZOuTHYrF,spotify:track:5vtXtPjH9NBC79ZOuTHYrF,https://api.spotify.com/v1/tracks/5vtXtPjH9NBC79ZOuTHYrF,https://api.spotify.com/v1/audio-analysis/5vtXtPjH9NBC79ZOuTHYrF,468027,4
10235,0.545,0.669,1,-6.239,0,0.0456,0.314,0.0,0.0553,0.886,102.041,audio_features,0zyyaMpWRZNSx2GqAMFKX3,spotify:track:0zyyaMpWRZNSx2GqAMFKX3,https://api.spotify.com/v1/tracks/0zyyaMpWRZNSx2GqAMFKX3,https://api.spotify.com/v1/audio-analysis/0zyyaMpWRZNSx2GqAMFKX3,177733,4
10236,0.365,0.891,6,-3.61,1,0.0638,5.11e-05,0.0,0.0974,0.608,114.928,audio_features,0PW18AbooKhtFzZ5LUuMsW,spotify:track:0PW18AbooKhtFzZ5LUuMsW,https://api.spotify.com/v1/tracks/0PW18AbooKhtFzZ5LUuMsW,https://api.spotify.com/v1/audio-analysis/0PW18AbooKhtFzZ5LUuMsW,183495,4
10237,0.685,0.526,6,-7.881,1,0.0548,0.938,0.881,0.0722,0.959,180.015,audio_features,1o9r0qPHxx5iYTzykgLcl0,spotify:track:1o9r0qPHxx5iYTzykgLcl0,https://api.spotify.com/v1/tracks/1o9r0qPHxx5iYTzykgLcl0,https://api.spotify.com/v1/audio-analysis/1o9r0qPHxx5iYTzykgLcl0,177893,4
10238,0.576,0.687,5,-7.434,1,0.0341,0.247,0.0,0.359,0.278,123.614,audio_features,5COBer69wpwkCPPaLr1gFb,spotify:track:5COBer69wpwkCPPaLr1gFb,https://api.spotify.com/v1/tracks/5COBer69wpwkCPPaLr1gFb,https://api.spotify.com/v1/audio-analysis/5COBer69wpwkCPPaLr1gFb,222440,4
10239,0.62,0.574,0,-11.893,1,0.0421,0.272,0.0,0.0607,0.9,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333,4
10240,0.331,0.789,11,-7.463,0,0.0391,0.000412,0.5,0.0797,0.0798,159.329,audio_features,2JpAeZfTokqjJd1Di5u5Ra,spotify:track:2JpAeZfTokqjJd1Di5u5Ra,https://api.spotify.com/v1/tracks/2JpAeZfTokqjJd1Di5u5Ra,https://api.spotify.com/v1/audio-analysis/2JpAeZfTokqjJd1Di5u5Ra,458933,4
10241,0.489,0.793,10,-5.848,1,0.0421,0.444,0.3,0.213,0.603,81.326,audio_features,1CKm95B5JmaSCnZLquInM4,spotify:track:1CKm95B5JmaSCnZLquInM4,https://api.spotify.com/v1/tracks/1CKm95B5JmaSCnZLquInM4,https://api.spotify.com/v1/audio-analysis/1CKm95B5JmaSCnZLquInM4,126224,4
10242,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,audio_features,7x8dCjCr0x6x2lXKujYD34,spotify:track:7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/tracks/7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/audio-analysis/7x8dCjCr0x6x2lXKujYD34,269373,4
10243,0.729,0.78,5,-7.604,1,0.0631,0.114,0.106,0.0759,0.795,111.833,audio_features,3mWpUEBYnv9SIFWfixSJFx,spotify:track:3mWpUEBYnv9SIFWfixSJFx,https://api.spotify.com/v1/tracks/3mWpUEBYnv9SIFWfixSJFx,https://api.spotify.com/v1/audio-analysis/3mWpUEBYnv9SIFWfixSJFx,274000,4
10244,0.655,0.628,10,-11.407,0,0.0946,0.00448,0.000732,0.29,0.603,99.841,audio_features,0wFkjAM4VVoepQdYB6kl4U,spotify:track:0wFkjAM4VVoepQdYB6kl4U,https://api.spotify.com/v1/tracks/0wFkjAM4VVoepQdYB6kl4U,https://api.spotify.com/v1/audio-analysis/0wFkjAM4VVoepQdYB6kl4U,271667,4
10245,0.699,0.658,1,-9.067,0,0.0373,0.335,0.0,0.271,0.648,80.892,audio_features,3FsDp9oLneMkBZMzutqsFT,spotify:track:3FsDp9oLneMkBZMzutqsFT,https://api.spotify.com/v1/tracks/3FsDp9oLneMkBZMzutqsFT,https://api.spotify.com/v1/audio-analysis/3FsDp9oLneMkBZMzutqsFT,250640,4
