,Song,Artist
444,Only when you leave,Spandau Ballet
445,State of shock,The Jacksons
446,Fotonovela (Chapter 1),Iván
447,Desidia,Objetivo Birmania
448,All of you,Julio Iglesias
449,Juegos de amor,Diseño
450,Send me an angel,Real Life
451,Susanna,The Art Company
452,Tentación,José Luis Perales
453,I just called to say I love you,Stevie Wonder
454,Blue jean,David Bowie
455,Esta cobardía,Chiquetete
456,Arturo,Cadillac
457,Sildavia,La Unión
458,Why?,Bronski Beat
459,Todo a pulmón,Miguel Ríos
460,Cómo pudiste hacerme esto a mí,Alaska y Dinarama
461,No te aguanto más,Objetivo Birmania
462,Voy a mil,Olé Olé
463,Tú no tienes corazón,Luís Miguel
464,Ninna,Juan Pardo
465,Arte moderno,La Mode
466,Amante bandido,Miguel Bosé
467,Lay your hands on me,The Thompson Twins
468,Fresh,Kool and The Gang
469,Just another night,Mick Jagger
470,Let's talk about me,The Alan Parsons Project
471,Ni tú ni nadie,Alaska y Dinarama
472,Cabaret,La Unión
473,¡Qué peligro tiene!,Juan Pardo
474,Números rojos,Azul y Negro
475,El africano,Georgie Dann
476,Tarzan boy,Baltimora
477,Material girl,Madonna
478,Baila,Iván
479,Estamos desesperados,Ramoncín
480,We are the world,USA for Africa
481,Agradecido,Rosendo
482,How much,Gary Low
483,Amanda,Paolo Salvatore
484,Camarero,Enrique del Pozo
485,A view to a kill,Duran Duran
486,If you love somebody set them free,Sting
487,Live is life,Opus
488,You can win If you want,Modern Talking
489,Baila para mí,Objetivo Birmania
490,Venezia,Hombres G
491,Angel,Madonna
492,There must be an angel (Playing with my heart),Eurythmics
493,The lady don't mind,Talking Heads
494,Part time lover,Stevie Wonder
495,We don't need another hero (Thunderdome),Tina Turner
496,Into the groove,Madonna
497,Dancing in the street,David Bowie
498,Breakthoven,Barón Rojo
499,Woody boogie,Baltimora
500,Una noche sin ti,Ana Curra
501,La Década en Río (Medley),La Década Prodigiosa
502,Alive and kicking,Simple Minds
503,Grité una noche,Nacha Pop
504,El sur también existe,Joan Manuel Serrat
505,Nikita,Elton John
506,Dejad que las niñas se acerquen a mí,Hombres G
507,Que te quiero,Katrina and The Waves
508,"Janey, don't you lose heart",Bruce Springsteen
509,Rufino,Luz Casal
510,El imperio contraataca,Los Nikis
511,That's what friends are for,Dionne Warwick
512,"Say you, say me",Lionel Richie
513,Lili Marlén,Olé Olé
514,West end girls,Pet Shop Boys
515,El tonto Simón,Radio Futura
516,"When the going gets tough, the tough get going",Billy Ocean
517,Si tú eres mi hombre y yo tu mujer,Jennifer Rush
518,Captain of her heart,Double
519,Al calor del amor en un bar,Gabinete Caligari
520,Love missile F1-11,Sigue Sigue Sputnik
521,Broken wings,Mr. Mister
522,Harlem shuffle,The Rolling Stones
523,Living in another world,Talk Talk
524,This is my life,Eartha Kitt
525,Marta tiene un marca pasos,Hombres G
526,La Puerta de Alcalá,Ana Belén
527,Bailando sin salir de casa,Olé Olé
528,Rock me Amadeus,Falco
529,A kind of magic,Queen
530,Te esperaré,Agustín Pantoja
531,El tomavistas,Paolo Salvatore
532,Nena,Miguel Bosé
533,Right between the eyes,Wax
534,"¡Ay, qué pesado!",Mecano
535,Dancing in Paris (Qué pasa),Angel
536,Hey! Mademoiselle!,Iván
537,Easy lady,Spagna
538,Atlantis is calling (S.O.S. for love),Modern Talking
539,Quiero beber hasta perder el control,Los Secretos
540,Through the barricades,Spandau Ballet
541,Notorious,Duran Duran
542,Max Mix 4,Varios
543,One love to give,Estefanía de Mónaco
544,Dos corazones y un destino,Bertín Osborne
545,Two people,Tina Turner
546,Me cuesta tanto olvidarte,Mecano
547,The final countdown,Europe
548,Suburbia,Pet Shop Boys
549,City lights,William Pitt
550,No puedo evitar (pensar en tí),Duncan Dhu
551,Walk like an egyptian,The Bangles
552,Shake you down,Gregory Abbott
553,Nothing's gonna stop us now,Starship
554,Como un susurro,Ramoncín
555,37 grados,Radio Futura
556,Call me,Spagna
557,The right thing,Simply Red
558,Running in the family,Level 42
559,With or without you,U2
560,The multimix,The Communards
561,Day in-day out,David Bowie
562,Yo tengo una mujer tremenda,Paolo Salvatore
563,Corazón de neón,Orquesta Mondragón
564,Contra el viento,Agustín Pantoja
565,Cuatro mexicanos,Cuentos Chinos
566,In the army now,Status Quo
567,Jardín de rosas,Duncan Dhu
568,Sola (con un desconocido),Olé Olé
569,Voyage voyage,Desireless
570,Cuerpos calientes,Ramoncín
571,América Latina,La Década Prodigiosa
572,Master Mix,Hombres G
573,Ellos las prefieren gordas,Orquesta Mondragón
574,Nothing's gonna stop me now,Samantha Fox
575,It's a sin,Pet Shop Boys
576,Max Mix 5 (1ª parte),Varios
577,"No, no, no...",Hombres G
578,Who's that girl?,Madonna
579,Balla... balla!,Francesco Napoli
580,Max Mix 5 (Parte 2),Varios
581,La bamba,Los Lobos
582,"Boys, Boys, Boys",Sabrina
583,Bad,Michael Jackson
584,Learning to fly,Pink Floyd
585,What have I done to deserve this?,Pet Shop Boys
586,Alien Divino,Germán Coppini
587,Never gonna give you up,Rick Astley
588,Brilliant disguise,Bruce Springsteen
589,La sangre de tu tristeza,Gabinete Caligari
590,Faith,George Michael
591,Is this love,Whitesnake
592,Unchain my heart,Joe Cocker
593,We'll be together,Sting
594,Fantástico amor,Eros Ramazzotti
595,Never can't say goodbye,The Communards
596,Balla... balla!,Francesco Napoli
597,Como un lobo,Miguel Bosé
598,Secretos,Olé Olé
599,En algún lugar,Duncan Dhu
600,Always on my mind,Pet Shop Boys
601,G.T.O.,Sinitta
602,Wonderful life,Black
603,Una fiesta especial,La Década Prodigiosa
604,Camino Soria,Gabinete Caligari
605,Serás mi cómplice,Cómplices
606,Sign your name,Terence Trent D'Arby
607,Father figure,George Michael
608,Flor de verano,Mango
609,Together forever,Rick Astley
610,A woman loves a man,Joe Cocker
611,Nutbush city limits,Tina Turner
612,Englishman in New York,Sting
613,Eloise,Tino Casal
614,Corazón infame,Miguel Bosé
615,Heart,Pet Shop Boys
616,Diálogo,Eros Ramazzotti
617,Una calle de París,Duncan Dhu
618,Gimme hope Jo'anna,Eddy Grant
619,Suite nupcial,Gabinete Caligari
620,My love,Julio Iglesias
621,¡Chas! Y aparezco a tu lado,Álex y Christina
622,Ya no danzo al son de los tambores,El Último de la Fila
623,Ayúdame (no soy un héroe),Ramoncín
624,La madre,Víctor Manuel
625,Si no te tengo a ti,Hombres G
626,No hay marcha en Nueva York,Mecano
627,Supernatural,Olé Olé
628,Yé ké yé ké,Mory Kanté
629,Perfect,Fairground Attraction
