,Song,Artist,songID
98,Reach Out I'll Be There - Single Version / Mono,Jerry Lee Lewis,"[""Reach Out I'll Be There - Single Version / Mono"", ['Four Tops'], '0PpamSdfQzIAvj5OB9Bz54']"
99,Kashmir - 1990 Remaster,The Velvet Underground,"['Kashmir - 1990 Remaster', ['Led Zeppelin'], '2nVHqZbOGkKWzlcy1aMbE7']"
100,Eight Miles High,Nico,"['Eight Miles High', ['The Byrds'], '2BGNomqCxEDcXyxf8bg27k']"
101,That's All Right Mama,Four Tops,"[""That's All Right, Mama"", ['Merl Saunders', 'Jerry Garcia'], '4Koru7tV1R2UGeE6JiscjM']"
102,Dancing Queen,Led Zeppelin,"['Dancing Queen', ['ABBA'], '2ATDkfqprlNNe9mYWodgdc']"
103,Yesterday - Remastered,The Byrds,"['Yesterday - Remastered 2009', ['The Beatles'], '3BQHpFgAp4l80e1XslIjNI']"
104,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,Elvis Presley,"['Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2', ['James Brown'], '7tMCIOFe99cWEYr21wfsDp']"
105,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,ABBA,"['Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit', ['Daft Punk', 'Pharrell Williams', 'Nile Rodgers'], '2Foc5Q5nqNiosCNqttzHof']"
106,Heart Of Glass [24-Bit Digitally Remastered 01] - Remastered 2001,The Beatles,
107,Walk This Way (feat. Aerosmith),James Brown,"['Walk This Way (feat. Aerosmith)', ['Run–D.M.C.', 'Aerosmith'], '6qUEOWqOzu1rLPUPQ1ECpx']"
108,Proud Mary,Daft Punk,"['Proud Mary', ['Creedence Clearwater Revival'], '2EZc13S7YRi6bTS3SKteRN']"
109,Good Times,Blondie,"['Good Times Bad Times - 1993 Remaster', ['Led Zeppelin'], '0QwZfbw26QeUoIy82Z2jYp']"
110,Nothing Compares 2 U,Run–D.M.C.,"['Nothing Compares 2 U', [""Sinéad O'Connor""], '3nvuPQTw2zuFAVuLsC9IYQ']"
111,Every Breath You Take - Remastered 2003,Creedence Clearwater Revival,"['Every Breath You Take - Remastered 2003', ['The Police'], '0wF2zKJmgzjPTfircPJ2jg']"
